ts_mono_s,tb_new_bytes,tb_retx_bytes,num_new_tb,num_retx_tb
785783.948352,59669116,3422157,56769,3102
785783.948363,59669116,3422157,56769,3102
785783.948375,59669116,3422157,56769,3102
785783.948396,59669116,3422157,56769,3102
785783.948408,59669116,3422157,56769,3102
785783.948420,59669116,3422157,56769,3102
785783.948431,59669116,3422157,56769,3102
785783.948452,59669116,3422157,56769,3102
785783.948466,59669116,3422157,56769,3102
785783.948477,59669116,3422157,56769,3102
785783.948489,59669116,3422157,56769,3102
785783.948510,59669116,3422157,56769,3102
785783.948523,59669116,3422157,56769,3102
785783.948535,59669116,3422157,56769,3102
785783.948546,59669116,3422157,56769,3102
785783.948566,59669116,3422157,56769,3102
785783.948579,59669116,3422157,56769,3102
785783.948590,59669116,3422157,56769,3102
785783.948602,59669116,3422157,56769,3102
785783.948624,59669116,3422157,56769,3102
785783.948636,59669116,3422157,56769,3102
785783.948649,59669116,3422157,56769,3102
785783.948661,59669116,3422157,56769,3102
785783.948682,59669116,3422157,56769,3102
785783.948694,59669116,3422157,56769,3102
785783.948706,59669116,3422157,56769,3102
785783.948718,59669116,3422157,56769,3102
785783.948739,59669116,3422157,56769,3102
785783.948752,59669116,3422157,56769,3102
785783.948763,59669116,3422157,56769,3102
785783.948775,59669116,3422157,56769,3102
785783.948796,59669116,3422157,56769,3102
785783.948808,59669116,3422157,56769,3102
785783.948820,59669116,3422157,56769,3102
785783.948832,59669116,3422157,56769,3102
785783.948852,59669116,3422157,56769,3102
785783.948866,59669116,3422157,56769,3102
785783.948878,59669116,3422157,56769,3102
785783.948890,59669116,3422157,56769,3102
785783.948911,59669116,3422157,56769,3102
785783.948924,59669116,3422157,56769,3102
785783.948935,59669116,3422157,56769,3102
785783.948947,59669116,3422157,56769,3102
785783.948968,59669116,3422157,56769,3102
785783.948980,59669116,3422157,56769,3102
785783.948992,59669116,3422157,56769,3102
785783.949004,59669116,3422157,56769,3102
785783.949026,59669116,3422157,56769,3102
785783.949039,59669116,3422157,56769,3102
785783.949050,59669116,3422157,56769,3102
785783.949062,59669116,3422157,56769,3102
785783.949083,59669116,3422157,56769,3102
785783.949095,59669116,3422157,56769,3102
785783.949106,59669116,3422157,56769,3102
785783.949118,59669116,3422157,56769,3102
785783.949140,59669116,3422157,56769,3102
785783.949152,59669116,3422157,56769,3102
785783.949164,59669116,3422157,56769,3102
785783.949176,59669116,3422157,56769,3102
785783.949196,59669116,3422157,56769,3102
785783.949208,59669116,3422157,56769,3102
785783.949220,59669116,3422157,56769,3102
785783.949232,59669116,3422157,56769,3102
785783.949253,59669116,3422157,56769,3102
785783.949265,59669116,3422157,56769,3102
785783.949277,59669116,3422157,56769,3102
785783.949290,59669116,3422157,56769,3102
785783.949310,59669116,3422157,56769,3102
785783.949323,59669116,3422157,56769,3102
785783.949334,59669116,3422157,56769,3102
785783.949346,59669116,3422157,56769,3102
785783.949366,59669116,3422157,56769,3102
785783.949378,59669116,3422157,56769,3102
785783.949391,59669116,3422157,56769,3102
785783.949403,59669116,3422157,56769,3102
785783.949425,59669116,3422157,56769,3102
785783.949438,59669116,3422157,56769,3102
785783.949449,59669116,3422157,56769,3102
785783.949461,59669116,3422157,56769,3102
785783.949481,59669116,3422157,56769,3102
785783.949494,59669116,3422157,56769,3102
785783.949505,59669116,3422157,56769,3102
785783.949517,59669116,3422157,56769,3102
785783.949538,59669116,3422157,56769,3102
785783.949551,59669116,3422157,56769,3102
785783.949562,59669116,3422157,56769,3102
785783.949574,59669116,3422157,56769,3102
785783.949595,59669116,3422157,56769,3102
785783.949608,59669116,3422157,56769,3102
785783.949620,59669116,3422157,56769,3102
785783.949632,59669116,3422157,56769,3102
785783.949652,59669116,3422157,56769,3102
785783.949665,59669116,3422157,56769,3102
785783.949676,59669116,3422157,56769,3102
785783.949689,59669116,3422157,56769,3102
785783.949710,59669116,3422157,56769,3102
785783.949723,59669116,3422157,56769,3102
785783.949734,59669116,3422157,56769,3102
785783.949746,59669116,3422157,56769,3102
785783.949766,59669116,3422157,56769,3102
785783.949779,59669116,3422157,56769,3102
785783.949790,59669116,3422157,56769,3102
785783.949802,59669116,3422157,56769,3102
785783.949825,59669116,3422157,56769,3102
785783.949838,59669116,3422157,56769,3102
785783.949849,59669116,3422157,56769,3102
785783.949862,59669116,3422157,56769,3102
785783.949882,59669116,3422157,56769,3102
785783.949895,59669116,3422157,56769,3102
785783.949907,59669116,3422157,56769,3102
785783.949918,59669116,3422157,56769,3102
785783.949940,59669116,3422157,56769,3102
785783.949953,59669116,3422157,56769,3102
785783.949965,59669116,3422157,56769,3102
785783.949977,59669116,3422157,56769,3102
785783.949997,59669116,3422157,56769,3102
785783.950011,59669116,3422157,56769,3102
785783.950022,59669116,3422157,56769,3102
785783.950034,59669116,3422157,56769,3102
785783.950054,59669116,3422157,56769,3102
785783.950067,59669116,3422157,56769,3102
785783.950078,59669116,3422157,56769,3102
785783.950090,59669116,3422157,56769,3102
785783.950113,59669116,3422157,56769,3102
785783.950125,59669116,3422157,56769,3102
785783.950137,59669116,3422157,56769,3102
785783.950148,59669116,3422157,56769,3102
785783.950169,59669116,3422157,56769,3102
785783.950181,59669116,3422157,56769,3102
785783.950193,59669116,3422157,56769,3102
785783.950204,59669116,3422157,56769,3102
785783.950226,59669116,3422157,56769,3102
