epoch,tb_new_bytes,tb_retx_bytes,num_new_tb
1785579232.988895,59925676,3486941,57243
1785579232.993909,59925676,3486941,57243
1785579232.998895,59925676,3486941,57243
1785579233.003897,59925676,3486941,57243
1785579233.008895,59925676,3486941,57243
1785579233.013896,59925676,3486941,57243
1785579233.018895,59925676,3486941,57243
1785579233.023898,59925676,3486941,57243
1785579233.028895,59925676,3486941,57243
1785579233.033908,59925676,3486941,57243
1785579233.038894,59925676,3486941,57243
1785579233.043897,59925676,3486941,57243
1785579233.048894,59925676,3486941,57243
1785579233.053896,59925676,3486941,57243
1785579233.058895,59925676,3486941,57243
1785579233.063896,59925676,3486941,57243
1785579233.068895,59925676,3486941,57243
1785579233.073908,59925676,3486941,57243
1785579233.078894,59925676,3486941,57243
1785579233.083902,59925676,3486941,57243
1785579233.088894,59925676,3486941,57243
1785579233.093896,59925676,3486941,57243
1785579233.098894,59925676,3486941,57243
1785579233.103897,59925676,3486941,57243
1785579233.108895,59925676,3486941,57243
1785579233.113908,59925676,3486941,57243
1785579233.118894,59925676,3486941,57243
1785579233.123896,59925676,3486941,57243
1785579233.128894,59925676,3486941,57243
1785579233.133897,59925676,3486941,57243
1785579233.138895,59925676,3486941,57243
1785579233.143897,59925676,3486941,57243
1785579233.148894,59925676,3486941,57243
1785579233.153909,59925676,3486941,57243
1785579233.158894,59925676,3486941,57243
1785579233.163898,59925676,3486941,57243
1785579233.168895,59925676,3486941,57243
1785579233.173895,59925676,3486941,57243
1785579233.178894,59925676,3486941,57243
1785579233.183904,59925676,3486941,57243
1785579233.188895,59925676,3486941,57243
1785579233.193909,59925676,3486941,57243
1785579233.198894,59925676,3486941,57243
1785579233.203897,59925676,3486941,57243
1785579233.208894,59925676,3486941,57243
1785579233.213896,59925676,3486941,57243
1785579233.218894,59925676,3486941,57243
1785579233.223896,59925676,3486941,57243
1785579233.228895,59925676,3486941,57243
1785579233.233908,59925676,3486941,57243
1785579233.238894,59925676,3486941,57243
1785579233.243898,59925676,3486941,57243
1785579233.248894,59925676,3486941,57243
1785579233.253897,59925676,3486941,57243
1785579233.258894,59925676,3486941,57243
1785579233.263898,59926204,3486941,57244
1785579233.268895,59926204,3486941,57244
1785579233.273910,59929598,3486941,57247
1785579233.278902,59933825,3486941,57250
1785579233.283916,59935846,3486941,57253
1785579233.288894,59938166,3486941,57256
1785579233.293897,59940219,3486941,57259
1785579233.298894,59941947,3487661,57261
1785579233.303911,59944096,3487661,57264
1785579233.308894,59946528,3487661,57267
1785579233.313911,59948597,3487661,57270
1785579233.318902,59951189,3487661,57273
1785579233.323902,59953322,3487661,57276
1785579233.328894,59955770,3487661,57279
1785579233.333904,59957839,3487661,57282
1785579233.338893,59960415,3487661,57285
1785579233.343902,59962564,3487661,57288
1785579233.348902,59965012,3487661,57291
1785579233.353912,59967065,3487661,57294
1785579233.358894,59969657,3487661,57297
1785579233.363902,59971806,3487661,57300
1785579233.368894,59974254,3487661,57303
1785579233.373897,59976307,3487661,57306
1785579233.378894,59978899,3487661,57309
1785579233.383913,59981048,3487661,57312
1785579233.388895,59983480,3487661,57315
1785579233.393910,59985549,3487661,57318
1785579233.398893,59988141,3487661,57321
1785579233.403904,59990274,3487661,57324
1785579233.408895,59992722,3487661,57327
1785579233.413898,59994791,3487661,57330
1785579233.418894,59997367,3487661,57333
1785579233.423906,59999516,3487661,57336
1785579233.428894,60001964,3487661,57339
1785579233.433912,60004017,3487661,57342
1785579233.438895,60006609,3487661,57345
1785579233.443909,60008758,3487661,57348
1785579233.448894,60011190,3487661,57351
1785579233.453897,60013259,3487661,57354
1785579233.458901,60015851,3487661,57357
1785579233.463905,60017984,3487661,57360
1785579233.468895,60020432,3487661,57363
1785579233.473920,60022501,3487661,57366
1785579233.478894,60025077,3487661,57369
1785579233.483908,60027226,3487661,57372
1785579233.488902,60029674,3487661,57375
1785579233.493897,60031727,3487661,57378
1785579233.498894,60034319,3487661,57381
1785579233.503908,60036468,3487661,57384
1785579233.508893,60038900,3487661,57387
1785579233.513911,60040969,3487661,57390
1785579233.518901,60043561,3487661,57393
1785579233.523905,60045694,3487661,57396
1785579233.528896,60048142,3487661,57399
1785579233.533905,60050211,3487661,57402
1785579233.538894,60052787,3487661,57405
1785579233.543902,60054936,3487661,57408
1785579233.548906,60057384,3487661,57411
1785579233.553914,60059437,3487661,57414
1785579233.558894,60062029,3487661,57417
1785579233.563908,60064178,3487661,57420
1785579233.568893,60066610,3487661,57423
1785579233.573898,60068679,3487661,57426
1785579233.578895,60071271,3487661,57429
1785579233.583909,60073420,3487661,57432
1785579233.588894,60075852,3487661,57435
1785579233.593909,60077921,3487661,57438
1785579233.598893,60080513,3487661,57441
1785579233.603902,60082646,3487661,57444
1785579233.608894,60085094,3487661,57447
1785579233.613897,60087163,3487661,57450
1785579233.618894,60089739,3487661,57453
1785579233.623899,60091888,3487661,57456
1785579233.628893,60094336,3487661,57459
