seq,size,send_ts_ns,recv_ts_ns,rtt_ms
234,1000,1785765013409053451,1785765013904075738,495.019889
235,1000,1785765013508995070,1785765014088059943,579.062519
236,1000,1785765013609051649,1785765014088088334,479.034413
237,1000,1785765013708972748,1785765014280063257,571.088175
238,1000,1785765013809050776,1785765014286058186,477.005048
239,1000,1785765013908999893,1785765014481927802,572.925510
240,1000,1785765014009054164,1785765014481952245,472.895860
241,1000,1785765014108997804,1785765014687978264,578.978118
242,1000,1785765014209056491,1785765014688000813,478.942376
243,1000,1785765014308994823,1785765014880475390,571.478534
244,1000,1785765014409049126,1785765014880499190,471.448230
245,1000,1785765014508991466,1785765015112046250,603.052685
246,1000,1785765014609044176,1785765015112070308,503.024195
247,1000,1785765014708978334,1785765015294049933,585.069572
248,1000,1785765014809045778,1785765015294086375,485.038710
249,1000,1785765014908990437,1785765015502049007,593.056131
